transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2403-03_tr_18,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Industries,cabinetMinister,2024-09-23
2403-03_tr_19,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Urban Development and Housing,cabinetMinister,2024-09-23
2403-03_tr_20,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Foreign Affairs,cabinetMinister,2024-09-23
2403-03_tr_21,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,2024-09-23
2403-03_tr_22,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Power and Energy,cabinetMinister,2024-09-23
2403-03_tr_23,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Environment,cabinetMinister,2024-09-23
2403-03_tr_24,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Sports and Youth Affairs,cabinetMinister,2024-09-23
2403-03_tr_25,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Irrigation,cabinetMinister,2024-09-23
2403-03_tr_26,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Labour and Foreign Employment,cabinetMinister,2024-09-23
2403-03_tr_27,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Public Security,cabinetMinister,2024-09-23
2403-03_tr_28,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Trade, Commerce and Food Security",cabinetMinister,2024-09-23
2403-03_tr_29,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Higher Education,stateMinister,2024-09-23
2403-03_tr_30,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Non Cabinet Minister of State Plantation Enterprises Reforms,stateMinister,2024-09-23
2403-03_tr_31,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Sports and Youth Affairs,stateMinister,2024-09-23
2403-03_tr_32,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Non Cabinet Minister of Development Projects,stateMinister,2024-09-23
2403-03_tr_33,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"State Minister of Health, Women and Child Affairs",stateMinister,2024-09-23
2403-03_tr_34,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Labour,stateMinister,2024-09-23
2403-03_tr_35,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Trade and Environment,stateMinister,2024-09-23
2403-03_tr_36,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"State Minister of Provincial Councils, Local Government and Environment",stateMinister,2024-09-23
2403-03_tr_38,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Plantation Industries and Mahaweli Development,stateMinister,2024-09-23
2403-03_tr_40,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Social Empowerment,stateMinister,2024-09-23
2403-03_tr_41,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Primary Industries,stateMinister,2024-09-23
2403-03_tr_42,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Tourism,stateMinister,2024-09-23
2403-03_tr_43,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Rural Road Development,stateMinister,2024-09-23
2403-03_tr_45,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Education,stateMinister,2024-09-23
2403-03_tr_46,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Home Affairs,stateMinister,2024-09-23
2403-03_tr_47,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Rural Economy,stateMinister,2024-09-23
2403-03_tr_48,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Livestock Development,stateMinister,2024-09-23
2403-03_tr_50,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Fisheries,stateMinister,2024-09-23
2403-03_tr_51,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Indigenous Medicine,stateMinister,2024-09-23
2403-03_tr_52,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Justice and Prison Affairs,stateMinister,2024-09-23
2403-03_tr_53,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Mass Media,stateMinister,2024-09-23
2403-03_tr_55,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Water Supply,stateMinister,2024-09-23
2403-03_tr_57,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Foreign Affairs,stateMinister,2024-09-23
2403-03_tr_58,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Piriven Education,stateMinister,2024-09-23
2403-03_tr_59,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Defence,stateMinister,2024-09-23
2403-03_tr_60,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Urban Development and Housing,stateMinister,2024-09-23
2403-03_tr_62,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Technology,stateMinister,2024-09-23
2403-03_tr_63,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Investment Promotion,stateMinister,2024-09-23
2403-03_tr_64,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Transport,stateMinister,2024-09-23
2403-03_tr_65,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Finance,stateMinister,2024-09-23
2403-03_tr_66,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Foreign Employment Promotion,stateMinister,2024-09-23
